objectIdFieldName,globalIdFieldName,geometryType,spatialReference__wkid,spatialReference__latestWkid,fields__name,fields__alias,fields__type,fields__length,features__attributes__ADDRESS_POINT_ID,features__attributes__ADDRESS_NUMBER,features__attributes__LINEAR_NAME_FULL,features__attributes__ADDRESS_FULL,features__attributes__POSTAL_CODE,features__attributes__MUNICIPALITY,features__attributes__CITY,features__attributes__PLACE_NAME,features__attributes__GENERAL_USE_CODE,features__attributes__CENTRELINE_ID,features__attributes__LO_NUM,features__attributes__LO_NUM_SUF,features__attributes__HI_NUM,features__attributes__HI_NUM_SUF,features__attributes__LINEAR_NAME_ID,features__attributes__X,features__attributes__Y,features__attributes__LONGITUDE,features__attributes__LATITUDE,features__attributes__MAINT_STAGE,features__attributes__OBJECTID,features__attributes__PT_ID,features__attributes__PT_TYPE,features__attributes__PT_NAME,features__attributes__PT_CONN_ROUTE,features__attributes__PT_PUB_PARK,features__attributes__PT_KISS_RIDE,features__attributes__PT_ESCALATOR,features__attributes__PT_ELEVATOR,features__attributes__PT_TRANSF_REQ,features__attributes__PT_PUB_WASH,features__attributes__PT_PHONE,features__attributes__PT_OTHER_TRAN,features__attributes__PT_WEBSITE,features__attributes__PT_EXTRA1,features__attributes__PT_EXTRA2,features__geometry__x,features__geometry__y
OBJECTID,,esriGeometryPoint,102100,3857,ADDRESS_POINT_ID,ADDRESS_POINT_ID,esriFieldTypeInteger,,11272589,2190,Yonge St,2190 Yonge St,M4S 2B8,former Toronto,Toronto,null,115001,14230407,2190,null,null,null,4733,312992.021,4840603.6,-79.39835772,43.70534682,REGULAR,1657924,1017,Subway Stations,EGLINTON,"5,C - 32,B,C - 34,C - 51 - 54,A - 56 - 61,A - 97,A,B,C,D - 100 - 103",No,No,"Train Platform to Mezzanine, Bus Platform and Street",Yes,"97,A,B,C,D Only",Yes,(416) 393-4636,null,http://www.ttc.ca/Subway/Stations/Eglinton/station.jsp,null,null,-8838584.39,5419955.255
,,,,,ADDRESS_NUMBER,ADDRESS_NUMBER,esriFieldTypeString,20,7273830,1900,Yonge St,1900 Yonge St,M4S 1Z2,former Toronto,Toronto,null,115001,7273833,1900,null,null,null,4733,313092.378,4839771.886,-79.3971253,43.69785923,REGULAR,2521081,1016,Subway Stations,DAVISVILLE,"11,A,C - 14 - 28 - 97,A,B,C,D",No,No,"Train Platform to Mezzanine, Bus Platform and Street",Yes,No,No,(416) 393-4636,null,http://www.ttc.ca/Subway/Stations/Davisville/station.jsp,null,null,-8838447.198,5418802.316
,,,,,LINEAR_NAME_FULL,LINEAR_NAME_FULL,esriFieldTypeString,110,14076438,15,St Clair Ave E,15 St Clair Ave E,M4T 1L8,former Toronto,Toronto,null,115001,10133200,15,null,null,null,339,313427.332,4838690.444,-79.39298707,43.68812105,REGULAR,1650935,1019,Subway Stations,ST CLAIR,"74 - 88,A,B,C - 97C,D - 97B - 512",No,No,"Train Platform to Mezzanine, Streetcar Platform and Street",Yes,97B Only,No,(416) 393-4636,null,http://www.ttc.ca/Subway/Stations/St_Clair/station.jsp,null,null,-8837986.533,5417303.047
,,,,,ADDRESS_FULL,ADDRESS_FULL,esriFieldTypeString,131,8681089,16,Shaftesbury Ave,16 Shaftesbury Ave,null,former Toronto,Toronto,null,115001,14122829,16,null,null,null,4383,313605.142,4838044.155,-79.39079202,43.68230153,REGULAR,2102733,1018,Subway Stations,SUMMERHILL,97B,No,No,No,No,Yes,No,(416) 393-4636,null,http://www.ttc.ca/Subway/Stations/Summerhill/station.jsp,null,null,-8837742.18,5416407.202
,,,,,POSTAL_CODE,POSTAL_CODE,esriFieldTypeString,7,788874,7,Crescent Rd,7 Crescent Rd,null,former Toronto,Toronto,null,115001,30089764,7,null,null,null,3238,313770.602,4837449.366,-79.38874645,43.67693709,REGULAR,4171070,1024,Subway Stations,ROSEDALE,82 - 97B,No,No,No,No,97B Only,No,(416) 393-4636,null,http://www.ttc.ca/Subway/Stations/Rosedale/station.jsp,null,null,-8837514.83,5415582.811
,,,,,MUNICIPALITY,MUNICIPALITY,esriFieldTypeString,15,8535683,35,Bloor St E,35 Bloor St E,M4W 1A9,former Toronto,Toronto,null,115001,30018013,35,null,null,null,3020,314030.143,4836710.509,-79.38554351,43.67029182,REGULAR,3005204,1026,Subway Stations,BLOOR-YONGE,97B,No,No,Train Platform to Mezzanine and Street,Yes,Yes,Yes,(416) 393-4636,null,http://www.ttc.ca/Subway/Stations/Bloor-Yonge/station.jsp,null,null,-8837157.919,5414558.728
,,,,,CITY,CITY,esriFieldTypeString,7,395735,701,Warden Ave,701 Warden Ave,M1L 3Z5,Scarborough,Toronto,null,115001,30069326,701,null,null,null,9187,322571.573,4841317.536,-79.27946972,43.71159702,REGULAR,3834988,1011,Subway Stations,WARDEN,"9 - 16 - 17,A,C - 68 - 69,B - 70 - 102,A,B,C,D - 135",Yes,Yes,Train Platform to Mezzanine,No,No,Yes,(416) 393-4636,null,http://www.ttc.ca/Subway/Stations/Warden/station.jsp,null,null,-8825350.199,5420919.093
,,,,,PLACE_NAME,PLACE_NAME,esriFieldTypeString,200,8408493,1234,Bay St,1234 Bay St,null,former Toronto,Toronto,null,115001,14014177,1234,null,null,null,2962,313661.467,4836709.439,-79.39011534,43.67028667,REGULAR,2124976,1028,Subway Stations,BAY,"6,A,B",No,No,Train Platform to Mezzanine and Street,No,Yes,No,(416) 393-4636,null,http://www.ttc.ca/Subway/Stations/Bay/station.jsp,null,null,-8837666.853,5414557.936
,,,,,GENERAL_USE_CODE,GENERAL_USE_CODE,esriFieldTypeInteger,,6913359,370,St Clair Ave W,370 St Clair Ave W,M5P 1N4,former Toronto,Toronto,null,115001,30076115,370,null,null,null,890,311645.336,4838236.59,-79.41509401,43.68404574,REGULAR,4103979,1020,Subway Stations,ST CLAIR WEST,"7A - 33 - 90,A - 126 - 512",No,No,"Train Platform to Mezzanine, Bus Platform and Street",No,No,No,(416) 393-4636,null,http://www.ttc.ca/Subway/Stations/St_Clair_West/station.jsp,null,null,-8840447.827,5416677.016
,,,,,CENTRELINE_ID,CENTRELINE_ID,esriFieldTypeInteger,,4030665,139,St George St,139 St George St,M5R 2L8,former Toronto,Toronto,null,115001,4030663,139,null,null,null,9786,312879.649,4836485.3,-79.39981373,43.66827803,REGULAR,2011322,1029,Subway Stations,ST GEORGE,26,No,No,Train Platform to Mezzanine and Street,Yes,No,No,(416) 393-4636,null,http://www.ttc.ca/Subway/Stations/St_George/station.jsp,null,null,-8838746.473,5414248.813
