station_name,total_crimes,peak_hour_1,peak_hour_1_crimes,peak_hour_2,peak_hour_2_crimes,peak_hour_3,peak_hour_3_crimes,top_3_hours_pct
DUNDAS,3568,19,218,21,212,18,207,17.853139013452914
COLLEGE,3234,0,214,12,170,17,169,17.0995670995671
QUEEN,3063,14,189,15,184,18,175,17.890956578517795
WELLESLEY,2428,0,155,21,122,1,121,16.392092257001647
BLOOR-YONGE,2071,17,131,0,122,16,117,17.865765330758087
UNION,2009,22,147,21,134,23,130,20.457939273270284
EGLINTON,1690,20,104,0,103,18,96,17.928994082840237
SHERBOURNE,1665,0,114,12,101,20,96,18.67867867867868
FINCH,1614,8,123,9,115,0,102,21.065675340768276
VICTORIA PARK,1431,0,109,20,107,15,92,21.523410202655484
ST ANDREW,1318,2,109,0,106,1,95,23.520485584218513
KING,1239,0,86,1,68,3,66,17.756255044390638
ST PATRICK,1223,0,82,14,75,11,71,18.642681929681114
BAY,1183,15,83,17,76,12,74,19.695688926458157
MAIN STREET,1152,0,90,19,69,22,67,19.618055555555554
DON MILLS,1148,20,89,19,88,18,87,22.99651567944251
OSGOODE,1142,0,87,18,62,17,61,18.388791593695274
MCCOWAN,1066,18,125,17,99,19,78,28.330206378986865
SHEPPARD-YONGE,1059,0,93,12,64,20,64,20.868744098205855
YORKDALE,979,20,93,15,92,17,89,27.987742594484168
