station_name,latitude,longitude,total_ridership,total_crimes,crimes_per_week,crimes_per_day,weekday_total,weekend_total,weekday_crimes_per_day,weekend_crimes_per_day,weekend_multiplier,late_night_total,late_night_pct,late_night_crimes_per_day,event_proxy_total,event_proxy_pct,event_proxy_multiplier,risk_category,distance_to_bmo,distance_to_scotiabank,distance_to_rogers,is_near_bmo,is_near_scotiabank,is_near_rogers,venue_category
BLOOR-YONGE,43.67029182,-79.38554351,278174.0,2071,4.978365384615385,0.7092465753424657,1467,604,0.7052884615384616,0.7259615384615384,1.0293115201090661,460,22.21149203283438,0.15753424657534246,170,8.208594881699662,1.1492032834379529,High,4.920678292440747,3.0238763430533497,3.227570036176195,False,False,False,Other
ST GEORGE,43.66827803,-79.39981373,209994.0,659,1.5841346153846154,0.22568493150684932,468,191,0.225,0.22956730769230768,1.0202991452991452,177,26.858877086494687,0.060616438356164384,53,8.042488619119878,1.1259484066767829,Medium,4.191895988655228,3.2199365317446635,3.1039053040746043,False,False,False,Other
UNION,43.64576123,-79.37922964,136515.0,2009,4.829326923076923,0.688013698630137,1439,570,0.6918269230769231,0.6850961538461539,0.990271021542738,540,26.879044300647088,0.18493150684931506,230,11.448481831757093,1.6027874564459932,High,3.484516903256489,0.251653595753985,0.9512611976389465,False,True,True,Downtown Events
SHEPPARD-YONGE,43.76171034,-79.41236509,92828.0,1059,2.545673076923077,0.3626712328767123,779,280,0.37451923076923077,0.33653846153846156,0.8985879332477535,269,25.401322001888577,0.09212328767123287,100,9.442870632672333,1.3220018885741267,Medium,14.299352172952212,13.413636757296704,13.504679014489048,False,False,False,Other
DUNDAS,43.6563103,-79.380383,72406.0,3568,8.576923076923077,1.2219178082191782,2556,1012,1.228846153846154,1.2163461538461537,0.989827856025039,854,23.934977578475337,0.2924657534246575,343,9.61322869955157,1.34585201793722,Critical,4.02603005349537,1.4281758118577752,1.809735735109675,False,True,True,Downtown Events
FINCH,43.78176253,-79.41638058,70775.0,1614,3.8798076923076925,0.5527397260273973,1196,418,0.575,0.5024038461538461,0.8737458193979933,386,23.915737298636927,0.13219178082191782,111,6.877323420074349,0.9628252788104089,High,16.52064087284075,15.663361276404112,15.75753306083629,False,False,False,Other
EGLINTON,43.70534682,-79.39835772,60814.0,1690,4.0625,0.5787671232876712,1209,481,0.58125,0.578125,0.9946236559139784,365,21.597633136094675,0.125,152,8.994082840236686,1.2591715976331361,High,8.190737461240156,7.049298815986413,7.146965464866004,False,False,False,Other
KIPLING,43.63863852,-79.53437278,49392.0,581,1.3966346153846154,0.19897260273972603,435,146,0.2091346153846154,0.17548076923076922,0.8390804597701148,110,18.9328743545611,0.03767123287671233,35,6.024096385542169,0.8433734939759037,Medium,9.312459837709527,12.506370700539737,11.67009381662556,False,False,False,Other
KENNEDY,43.73248795,-79.26399325,42881.0,746,1.7932692307692308,0.2554794520547945,537,209,0.25817307692307695,0.2512019230769231,0.9729981378026069,164,21.983914209115284,0.056164383561643834,65,8.713136729222521,1.219839142091153,Medium,16.644947293152082,13.54887447934813,14.29221294854005,False,False,False,Other
COLLEGE,43.66121356,-79.3826809,39137.0,3234,7.774038461538462,1.1075342465753424,2311,923,1.1110576923076922,1.109375,0.9984855041107746,798,24.675324675324674,0.2732876712328767,243,7.5139146567718,1.0519480519480522,Critical,4.265644687870349,1.9906162929317843,2.2685199185065295,False,True,False,Downtown Events
