station_name,latitude,longitude,distance_to_bmo,total_ridership,line,fifa_category,weekend_crimes_per_day,event_proxy_total,late_night_pct,total_crimes,proximity_factor,ridership_factor,fifa_risk_score,event_based_score,final_fifa_score
DUNDAS,43.6563103,-79.380383,4.02603005349537,72406.0,Line 1 Yonge-University,Downtown Hub (High Event Crime),1.2163461538461535,343,23.934977578475337,3568,0.1,0.5,3.0104567307692305,5.659500000000001,5.659500000000001
QUEEN,43.65247044,-79.3781187,3.9191857798256593,36714.0,Line 1 Yonge-University,Downtown Hub (High Event Crime),1.0564903846153846,295,17.466536075742738,3063,0.25,0.3,2.5751953125,4.79375,4.79375
UNION,43.64576123,-79.37922964,3.484516903256489,136515.0,Line 1 Yonge-University,Major Transfer Point,0.6850961538461539,230,26.879044300647088,2009,0.25,0.5,1.926832932692308,4.3125,4.3125
COLLEGE,43.66121356,-79.3826809,4.265644687870349,39137.0,Line 1 Yonge-University,Downtown Hub (High Event Crime),1.109375,243,24.67532467532467,3234,0.1,0.3,2.3796093750000002,3.4749000000000008,3.4749000000000008
BLOOR-YONGE,43.67029182,-79.38554351,4.920678292440747,278174.0,Line 1 Yonge-University & Line 2 Bloor-Danforth,Major Transfer Point,0.7259615384615384,170,22.21149203283438,2071,0.1,0.5,1.7967548076923079,2.805,2.805
WELLESLEY,43.66529384,-79.38393902,4.543988542918741,17705.0,Line 1 Yonge-University,Downtown Hub (High Event Crime),0.828125,206,25.49423393739704,2428,0.1,0.1,1.5030468750000001,2.492600000000001,2.492600000000001
ST ANDREW,43.64745937,-79.38515665,3.1443723909488925,34576.0,Line 1 Yonge-University,BMO Corridor (<3.5km),0.5120192307692307,112,34.825493171471926,1318,0.25,0.3,1.2480468749999998,1.8200000000000003,1.8200000000000003
OSGOODE,43.65071214,-79.38681792,3.2336350404084744,19323.0,Line 1 Yonge-University,BMO Corridor (<3.5km),0.3942307692307692,94,26.18213660245184,1142,0.25,0.1,0.8131009615384616,1.2925,1.2925
OSSINGTON,43.66239032,-79.42630256,3.300010841380272,22109.0,Line 2 Bloor-Danforth,BMO Corridor (<3.5km),0.3329326923076923,81,28.440366972477065,872,0.25,0.1,0.6866736778846154,1.1137500000000002,1.1137500000000002
SPADINA,43.66712906,-79.40459604,3.944366675058408,39080.0,Line 1 Yonge-University & Line 2 Bloor-Danforth,Major Transfer Point,0.3521634615384615,68,27.342047930283226,918,0.25,0.3,0.8583984375000001,1.1050000000000002,1.1050000000000002
ST PATRICK,43.65481796,-79.38802613,3.456864973489626,23989.0,Line 1 Yonge-University,BMO Corridor (<3.5km),0.4122596153846153,75,21.504497138184792,1223,0.25,0.1,0.850285456730769,1.03125,1.03125
DUFFERIN,43.66008769,-79.4355881,3.2774596632083384,26800.0,Line 2 Bloor-Danforth,BMO Corridor (<3.5km),0.2415865384615384,64,21.237693389592124,711,0.25,0.1,0.49827223557692296,0.8800000000000001,0.8800000000000001
CHRISTIE,43.66412477,-79.41837283,3.4389391170488386,11407.0,Line 2 Bloor-Danforth,BMO Corridor (<3.5km),0.2211538461538461,64,28.371278458844134,571,0.25,0.1,0.45612980769230765,0.8800000000000001,0.8800000000000001
ST GEORGE,43.66827803,-79.39981373,4.191895988655228,209994.0,Line 1 Yonge-University & Line 2 Bloor-Danforth,Major Transfer Point,0.2295673076923076,53,26.858877086494687,659,0.1,0.5,0.5681790865384613,0.8745,0.8745
LANSDOWNE,43.65910755,-79.44268627,3.458606407103385,17406.0,Line 2 Bloor-Danforth,BMO Corridor (<3.5km),0.2620192307692308,61,30.029154518950435,686,0.25,0.1,0.5404146634615385,0.83875,0.83875
