match_id,match_date,match_day,kickoff,station,fifa_risk_score,distance_to_bmo,pre_window,critical_window,officers_needed,deployment_hours
1,2026-06-12,Friday,15:00,DUNDAS,5.659500000000001,4.02603005349537,13:00-15:00,17:00-20:00,3,7
1,2026-06-12,Friday,15:00,QUEEN,4.79375,3.9191857798256593,13:00-15:00,17:00-20:00,3,7
1,2026-06-12,Friday,15:00,UNION,4.3125,3.484516903256489,13:00-15:00,17:00-20:00,3,7
1,2026-06-12,Friday,15:00,COLLEGE,3.4749000000000008,4.265644687870349,13:00-15:00,17:00-20:00,2,7
1,2026-06-12,Friday,15:00,BLOOR-YONGE,2.805,4.920678292440747,13:00-15:00,17:00-20:00,2,7
1,2026-06-12,Friday,15:00,WELLESLEY,2.492600000000001,4.543988542918741,13:00-15:00,17:00-20:00,1,7
1,2026-06-12,Friday,15:00,ST ANDREW,1.8200000000000003,3.1443723909488925,13:00-15:00,17:00-20:00,1,7
1,2026-06-12,Friday,15:00,OSGOODE,1.2925,3.2336350404084744,13:00-15:00,17:00-20:00,1,7
1,2026-06-12,Friday,15:00,OSSINGTON,1.1137500000000002,3.300010841380272,13:00-15:00,17:00-20:00,1,7
1,2026-06-12,Friday,15:00,SPADINA,1.1050000000000002,3.944366675058408,13:00-15:00,17:00-20:00,1,7
2,2026-06-17,Wednesday,19:00,DUNDAS,5.659500000000001,4.02603005349537,17:00-19:00,21:00-23:00,3,6
2,2026-06-17,Wednesday,19:00,QUEEN,4.79375,3.9191857798256593,17:00-19:00,21:00-23:00,3,6
2,2026-06-17,Wednesday,19:00,UNION,4.3125,3.484516903256489,17:00-19:00,21:00-23:00,3,6
2,2026-06-17,Wednesday,19:00,COLLEGE,3.4749000000000008,4.265644687870349,17:00-19:00,21:00-23:00,2,6
2,2026-06-17,Wednesday,19:00,BLOOR-YONGE,2.805,4.920678292440747,17:00-19:00,21:00-23:00,2,6
2,2026-06-17,Wednesday,19:00,WELLESLEY,2.492600000000001,4.543988542918741,17:00-19:00,21:00-23:00,1,6
2,2026-06-17,Wednesday,19:00,ST ANDREW,1.8200000000000003,3.1443723909488925,17:00-19:00,21:00-23:00,1,6
2,2026-06-17,Wednesday,19:00,OSGOODE,1.2925,3.2336350404084744,17:00-19:00,21:00-23:00,1,6
