station_name,latitude,longitude,distance_to_bmo,total_ridership,line,fifa_category,weekend_crimes_per_day,event_proxy_total,late_night_pct,total_crimes,proximity_factor,ridership_factor,fifa_risk_score,event_based_score,final_fifa_score,danger_start,danger_end,danger_pct
DUNDAS,43.6563103,-79.380383,4.02603005349537,72406.0,Line 1 Yonge-University,Downtown Hub (High Event Crime),1.2163461538461535,343,23.934977578475337,3568,0.1,0.5,3.0104567307692305,5.659500000000001,5.659500000000001,19.0,21.0,17.6
QUEEN,43.65247044,-79.3781187,3.9191857798256593,36714.0,Line 1 Yonge-University,Downtown Hub (High Event Crime),1.0564903846153846,295,17.466536075742738,3063,0.25,0.3,2.5751953125,4.79375,4.79375,14.0,16.0,17.7
UNION,43.64576123,-79.37922964,3.484516903256489,136515.0,Line 1 Yonge-University,Major Transfer Point,0.6850961538461539,230,26.879044300647088,2009,0.25,0.5,1.926832932692308,4.3125,4.3125,21.0,23.0,20.5
COLLEGE,43.66121356,-79.3826809,4.265644687870349,39137.0,Line 1 Yonge-University,Downtown Hub (High Event Crime),1.109375,243,24.67532467532467,3234,0.1,0.3,2.3796093750000002,3.4749000000000008,3.4749000000000008,22.0,0.0,15.8
BLOOR-YONGE,43.67029182,-79.38554351,4.920678292440747,278174.0,Line 1 Yonge-University & Line 2 Bloor-Danforth,Major Transfer Point,0.7259615384615384,170,22.21149203283438,2071,0.1,0.5,1.7967548076923079,2.805,2.805,15.0,17.0,17.5
WELLESLEY,43.66529384,-79.38393902,4.543988542918741,17705.0,Line 1 Yonge-University,Downtown Hub (High Event Crime),0.828125,206,25.49423393739704,2428,0.1,0.1,1.5030468750000001,2.492600000000001,2.492600000000001,23.0,1.0,16.3
ST ANDREW,43.64745937,-79.38515665,3.1443723909488925,34576.0,Line 1 Yonge-University,BMO Corridor (<3.5km),0.5120192307692307,112,34.825493171471926,1318,0.25,0.3,1.2480468749999998,1.8200000000000003,1.8200000000000003,0.0,2.0,23.5
OSGOODE,43.65071214,-79.38681792,3.2336350404084744,19323.0,Line 1 Yonge-University,BMO Corridor (<3.5km),0.3942307692307692,94,26.18213660245184,1142,0.25,0.1,0.8131009615384616,1.2925,1.2925,22.0,0.0,17.0
OSSINGTON,43.66239032,-79.42630256,3.300010841380272,22109.0,Line 2 Bloor-Danforth,BMO Corridor (<3.5km),0.3329326923076923,81,28.440366972477065,872,0.25,0.1,0.6866736778846154,1.1137500000000002,1.1137500000000002,,,
SPADINA,43.66712906,-79.40459604,3.944366675058408,39080.0,Line 1 Yonge-University & Line 2 Bloor-Danforth,Major Transfer Point,0.3521634615384615,68,27.342047930283226,918,0.25,0.3,0.8583984375000001,1.1050000000000002,1.1050000000000002,,,
