station,event_crimes,non_event_crimes,event_rate,non_event_rate,amplification
SHEPPARD-YONGE,48,289,0.24742268,0.109635812,2.256768808
DON MILLS,56,362,0.288659794,0.137329287,2.101953637
MCCOWAN,50,355,0.257731959,0.134673748,1.913750545
EGLINTON,63,456,0.324742268,0.172989378,1.877238199
OSGOODE,38,283,0.195876289,0.107359636,1.824487268
DUNDAS,139,1083,0.716494845,0.410849772,1.743933899
UNION,81,663,0.417525773,0.251517451,1.660027056
FINCH,43,356,0.221649485,0.135053111,1.641202363
BAY,33,280,0.170103093,0.106221548,1.601399116
YORKDALE,38,326,0.195876289,0.123672231,1.58383404
VICTORIA PARK,50,434,0.257731959,0.164643399,1.565395031
KING,33,287,0.170103093,0.108877086,1.562340601
QUEEN,86,789,0.443298969,0.299317147,1.481034325
ST PATRICK,27,250,0.139175258,0.094840668,1.467463918
MAIN STREET,34,332,0.175257732,0.125948407,1.391504161
WELLESLEY,62,613,0.319587629,0.232549317,1.374278939
COLLEGE,80,797,0.412371134,0.302352049,1.363877427
SHERBOURNE,44,444,0.226804124,0.168437026,1.34652178
BLOOR-YONGE,46,544,0.237113402,0.206373293,1.148953911
ST ANDREW,25,324,0.128865979,0.122913505,1.048428153
