occurrence_date,crimes,z_score,is_leafs_season,is_jays_season
2018-01-01,50,5.11283282035293,True,False
2018-07-05,34,2.276445872517593,False,True
2018-10-11,35,2.457308042133543,True,True
2018-10-26,34,1.9912351098452545,True,True
2019-01-01,39,2.8519004880429226,True,False
2019-01-03,34,2.276445872517593,True,False
2019-01-05,31,1.6095644734107606,True,False
2019-01-07,42,3.704554461265665,True,False
2019-01-10,31,1.733859363669742,True,False
2019-01-11,44,3.6349625765958433,True,False
2019-06-16,29,1.5636489750481535,False,True
2019-06-17,36,2.6483456919502166,False,True
2019-06-22,31,1.6095644734107606,False,True
2019-06-23,29,1.5636489750481535,False,True
2019-07-19,32,1.6624896164951366,False,True
2019-07-20,36,2.4455943618884506,False,True
2019-07-21,30,1.7516210245864445,False,True
2019-08-01,30,1.5529971940537914,False,True
2019-10-26,31,1.6095644734107606,True,True
2019-11-06,38,2.8418451039344315,True,False
2019-11-17,29,1.5636489750481535,True,False
2019-11-18,31,1.7681717175206764,True,False
2019-12-13,34,1.9912351098452545,True,False
2020-01-01,44,3.8730775188950695,True,False
2020-01-09,31,1.733859363669742,True,False
2020-02-10,31,1.7681717175206764,True,False
2020-02-20,30,1.5529971940537914,True,False
2020-02-26,34,2.154356827294006,True,False
2020-03-15,29,1.5636489750481535,True,False
2020-06-30,31,1.5443926938927783,False,True
2020-07-11,34,2.1111824064973743,False,True
2020-08-01,36,2.4455943618884506,False,True
2020-08-28,32,1.6624896164951366,False,True
2021-01-01,33,1.8268623631701955,True,False
2021-01-04,30,1.5921369226347684,True,False
2021-01-09,36,2.4455943618884506,True,False
2021-07-08,31,1.733859363669742,False,True
2021-09-27,33,2.1202413072924924,False,True
2021-10-17,29,1.5636489750481535,True,True
2021-11-15,31,1.7681717175206764,True,False
2021-11-20,33,1.9439764288018364,True,False
2021-12-11,32,1.7767704511062985,True,False
2021-12-17,34,1.9912351098452545,True,False
2022-01-01,40,3.1144182726706027,True,False
2022-01-06,35,2.457308042133543,True,False
2022-01-08,36,2.4455943618884506,True,False
2022-01-09,29,1.5636489750481535,True,False
2022-01-10,30,1.5921369226347684,True,False
2022-01-11,40,3.0153389623116906,True,False
2022-01-12,34,2.154356827294006,True,False
