station_name,station,event_rate,amplification,officers_HIGH,officers_MEDIUM_HIGH,officers_MEDIUM
DUNDAS,DUNDAS,0.716494845,1.743933899,5,5,4
QUEEN,QUEEN,0.443298969,1.481034325,3,3,3
UNION,UNION,0.417525773,1.660027056,3,3,3
COLLEGE,COLLEGE,0.412371134,1.363877427,3,3,3
BLOOR-YONGE,BLOOR-YONGE,0.237113402,1.148953911,2,2,2
WELLESLEY,WELLESLEY,0.319587629,1.374278939,3,2,2
ST ANDREW,ST ANDREW,0.128865979,1.048428153,1,1,1
OSGOODE,OSGOODE,0.195876289,1.824487268,2,2,1
OSSINGTON,,0.3659793815,2.61,3,3,2
SPADINA,,0.3659793815,2.61,3,3,2
