station_name,amplification,non_event_rate_hourly,officers_0.5,officers_1.0,officers_1.5,officers_2.0,officers_3.0
DUNDAS,1.743933899,0.068474962,2,1,1,1,1
QUEEN,1.481034325,0.04988619116666667,2,1,1,1,1
UNION,1.660027056,0.04191957516666667,2,1,1,1,1
COLLEGE,1.363877427,0.05039200816666667,2,1,1,1,1
BLOOR-YONGE,1.148953911,0.03439554883333334,1,1,1,1,1
WELLESLEY,1.374278939,0.0387582195,1,1,1,1,1
ST ANDREW,1.048428153,0.020485584166666668,1,1,1,1,1
OSGOODE,1.824487268,0.017893272666666665,1,1,1,1,1
OSSINGTON,2.61,0.08333333333333333,4,2,2,1,1
SPADINA,2.61,0.08333333333333333,4,2,2,1,1
